text,label
Thanks bro tolong aku tadi,SAFE
Kita jumpa esok kelas 10am,SAFE
Weh kau free tak malam ni?,SAFE
Call aku nanti free,SAFE
"Customs hold parcel, pay RM3702 release fee",SCAM
"Shopee parcel stuck kastam, bayar RM3993 untuk release",SCAM
"Loan approved instant RM3804, send IC & bank details",SCAM
Dinner rumah mak malam ni,SAFE
"Bank Negara report: account suspicious activity, verify bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
Thanks bro tolong aku tadi,SAFE
"Loan approved instant RM2420, send IC & bank details",SCAM
"Customs hold parcel, pay RM3914 release fee",SCAM
Call aku nanti free,SAFE
"Customs hold parcel, pay RM2324 release fee",SCAM
Aku dah hantar report tu,SAFE
Aku lambat sikit traffic jam,SAFE
Let’s study together for exam,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Aku lambat sikit traffic jam,SAFE
Kita jumpa esok kelas 10am,SAFE
"Customs hold parcel, pay RM2405 release fee",SCAM
Where are you now bro?,SAFE
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
Call aku nanti free,SAFE
"Free RM2611 voucher, claim sekarang sh0pee-help.net",SCAM
Thanks bro tolong aku tadi,SAFE
"Free RM2750 voucher, claim sekarang tng-update.com",SCAM
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
"OTP needed to verify transaction, send cepat",SCAM
Thanks bro tolong aku tadi,SAFE
"Good morning bro, bangun cepat",SAFE
Jom makan dekat cafe kampus,SAFE
"Loan approved instant RM1865, send IC & bank details",SCAM
Apa plan weekend ni?,SAFE
"Customs hold parcel, pay RM2859 release fee",SCAM
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
"You win RM3744 cash, claim now sebelum expired",SCAM
"Your email hacked, reset password immediately tng-update.com",SCAM
"You win RM1441 cash, claim now sebelum expired",SCAM
"Job part time RM1597/day, no experience needed, join link bit.ly/verify",SCAM
Aku tengah buat project AI ni,SAFE
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
Thanks bro tolong aku tadi,SAFE
"You win RM4903 cash, claim now sebelum expired",SCAM
"Shopee parcel stuck kastam, bayar RM767 untuk release",SCAM
"Free RM4140 voucher, claim sekarang bit.ly/verify",SCAM
Apa plan weekend ni?,SAFE
"You win RM2904 cash, claim now sebelum expired",SCAM
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
"Good morning bro, bangun cepat",SAFE
Weh kau free tak malam ni?,SAFE
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
"Loan approved instant RM1699, send IC & bank details",SCAM
Aku lambat sikit traffic jam,SAFE
Dinner rumah mak malam ni,SAFE
"Job part time RM4765/day, no experience needed, join link sh0pee-help.net",SCAM
"Free RM2475 voucher, claim sekarang sh0pee-help.net",SCAM
"Customs hold parcel, pay RM4759 release fee",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"Free RM1310 voucher, claim sekarang sh0pee-help.net",SCAM
"Customs hold parcel, pay RM4539 release fee",SCAM
Aku dah hantar report tu,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bit.ly/verify",SCAM
"You win RM1905 cash, claim now sebelum expired",SCAM
"Good morning bro, bangun cepat",SAFE
Dinner rumah mak malam ni,SAFE
Dinner rumah mak malam ni,SAFE
"Police report: you involved in case, contact urgent tng-update.com",SCAM
Aku dah hantar report tu,SAFE
Assignment dah siap belum?,SAFE
You datang lecture tak hari ni?,SAFE
"Good morning bro, bangun cepat",SAFE
Kita jumpa esok kelas 10am,SAFE
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
Jom makan dekat cafe kampus,SAFE
"Loan approved instant RM861, send IC & bank details",SCAM
"Job part time RM3852/day, no experience needed, join link bank-secure.com/login",SCAM
Apa plan weekend ni?,SAFE
You datang lecture tak hari ni?,SAFE
"Free RM3243 voucher, claim sekarang bit.ly/verify",SCAM
Kita jumpa esok kelas 10am,SAFE
Kita jumpa esok kelas 10am,SAFE
"Free RM4803 voucher, claim sekarang bank-secure.com/login",SCAM
Aku dah hantar report tu,SAFE
"You win RM4696 cash, claim now sebelum expired",SCAM
"Loan approved instant RM1122, send IC & bank details",SCAM
"Bank Negara report: account suspicious activity, verify bank-secure.com/login",SCAM
Assignment dah siap belum?,SAFE
Call aku nanti free,SAFE
Thanks bro tolong aku tadi,SAFE
Aku tengah buat project AI ni,SAFE
Aku lambat sikit traffic jam,SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
You datang lecture tak hari ni?,SAFE
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
Jom makan dekat cafe kampus,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
"We detected login from Unknown, confirm identity bank-secure.com/login",SCAM
Aku tengah buat project AI ni,SAFE
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
You datang lecture tak hari ni?,SAFE
"You win RM544 cash, claim now sebelum expired",SCAM
Aku lambat sikit traffic jam,SAFE
Aku lambat sikit traffic jam,SAFE
Jom makan dekat cafe kampus,SAFE
Apa plan weekend ni?,SAFE
"Shopee parcel stuck kastam, bayar RM1237 untuk release",SCAM
Aku dah hantar report tu,SAFE
"Loan approved instant RM4458, send IC & bank details",SCAM
"Shopee parcel stuck kastam, bayar RM4764 untuk release",SCAM
"You win RM751 cash, claim now sebelum expired",SCAM
"Shopee parcel stuck kastam, bayar RM712 untuk release",SCAM
Apa plan weekend ni?,SAFE
Aku tengah buat project AI ni,SAFE
Weh kau free tak malam ni?,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
"We detected login from India, confirm identity bank-secure.com/login",SCAM
Dinner rumah mak malam ni,SAFE
Weh kau free tak malam ni?,SAFE
Dinner rumah mak malam ni,SAFE
Thanks bro tolong aku tadi,SAFE
You datang lecture tak hari ni?,SAFE
"Free RM1621 voucher, claim sekarang bank-secure.com/login",SCAM
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
"Good morning bro, bangun cepat",SAFE
"Job part time RM3535/day, no experience needed, join link sh0pee-help.net",SCAM
"Job part time RM1072/day, no experience needed, join link sh0pee-help.net",SCAM
Call aku nanti free,SAFE
Aku dah hantar report tu,SAFE
"Customs hold parcel, pay RM1933 release fee",SCAM
Kita jumpa esok kelas 10am,SAFE
Aku tengah buat project AI ni,SAFE
"You win RM4208 cash, claim now sebelum expired",SCAM
"Job part time RM4930/day, no experience needed, join link bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
Assignment dah siap belum?,SAFE
Weh kau free tak malam ni?,SAFE
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
"Loan approved instant RM2683, send IC & bank details",SCAM
"Loan approved instant RM1290, send IC & bank details",SCAM
Aku dah hantar report tu,SAFE
"Shopee parcel stuck kastam, bayar RM1568 untuk release",SCAM
Let’s study together for exam,SAFE
"Customs hold parcel, pay RM4508 release fee",SCAM
Jom makan dekat cafe kampus,SAFE
"Bank Negara report: account suspicious activity, verify bank-secure.com/login",SCAM
"Loan approved instant RM103, send IC & bank details",SCAM
Aku dah hantar report tu,SAFE
Jom makan dekat cafe kampus,SAFE
Jom makan dekat cafe kampus,SAFE
Where are you now bro?,SAFE
"Loan approved instant RM3478, send IC & bank details",SCAM
Where are you now bro?,SAFE
Assignment dah siap belum?,SAFE
"We detected login from Unknown, confirm identity bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
"Job part time RM3033/day, no experience needed, join link bit.ly/verify",SCAM
Jom makan dekat cafe kampus,SAFE
Aku tengah buat project AI ni,SAFE
Dinner rumah mak malam ni,SAFE
"You win RM4012 cash, claim now sebelum expired",SCAM
"Account anda akan dibekukan segera, verify sekarang tng-update.com",SCAM
Let’s study together for exam,SAFE
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
Weh kau free tak malam ni?,SAFE
Weh kau free tak malam ni?,SAFE
You datang lecture tak hari ni?,SAFE
"Customs hold parcel, pay RM150 release fee",SCAM
Aku lambat sikit traffic jam,SAFE
"Loan approved instant RM1173, send IC & bank details",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
Aku lambat sikit traffic jam,SAFE
Aku dah hantar report tu,SAFE
Apa plan weekend ni?,SAFE
Aku dah hantar report tu,SAFE
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Customs hold parcel, pay RM4504 release fee",SCAM
"Job part time RM203/day, no experience needed, join link tng-update.com",SCAM
"Loan approved instant RM2455, send IC & bank details",SCAM
Where are you now bro?,SAFE
Let’s study together for exam,SAFE
Weh kau free tak malam ni?,SAFE
"Free RM787 voucher, claim sekarang bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
Jom makan dekat cafe kampus,SAFE
"You win RM2429 cash, claim now sebelum expired",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
Kita jumpa esok kelas 10am,SAFE
"Loan approved instant RM2341, send IC & bank details",SCAM
"Job part time RM1963/day, no experience needed, join link tng-update.com",SCAM
"Customs hold parcel, pay RM4936 release fee",SCAM
"Customs hold parcel, pay RM154 release fee",SCAM
"Job part time RM1796/day, no experience needed, join link sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
Where are you now bro?,SAFE
Aku tengah buat project AI ni,SAFE
Weh kau free tak malam ni?,SAFE
Aku dah hantar report tu,SAFE
Aku lambat sikit traffic jam,SAFE
"Free RM3469 voucher, claim sekarang tng-update.com",SCAM
"We detected login from Nigeria, confirm identity sh0pee-help.net",SCAM
Aku lambat sikit traffic jam,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
"Shopee parcel stuck kastam, bayar RM617 untuk release",SCAM
Jom makan dekat cafe kampus,SAFE
Thanks bro tolong aku tadi,SAFE
"Shopee parcel stuck kastam, bayar RM4714 untuk release",SCAM
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
You datang lecture tak hari ni?,SAFE
Apa plan weekend ni?,SAFE
Aku dah hantar report tu,SAFE
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Police report: you involved in case, contact urgent tng-update.com",SCAM
Thanks bro tolong aku tadi,SAFE
Aku tengah buat project AI ni,SAFE
Call aku nanti free,SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
"We detected login from Philippines, confirm identity bit.ly/verify",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
Weh kau free tak malam ni?,SAFE
Assignment dah siap belum?,SAFE
"Account anda akan dibekukan segera, verify sekarang tng-update.com",SCAM
Kita jumpa esok kelas 10am,SAFE
Jom makan dekat cafe kampus,SAFE
Apa plan weekend ni?,SAFE
Aku dah hantar report tu,SAFE
Weh kau free tak malam ni?,SAFE
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Customs hold parcel, pay RM4215 release fee",SCAM
"Loan approved instant RM884, send IC & bank details",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
Call aku nanti free,SAFE
Where are you now bro?,SAFE
You datang lecture tak hari ni?,SAFE
Let’s study together for exam,SAFE
You datang lecture tak hari ni?,SAFE
"Job part time RM3076/day, no experience needed, join link bit.ly/verify",SCAM
"Customs hold parcel, pay RM4788 release fee",SCAM
Weh kau free tak malam ni?,SAFE
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
Dinner rumah mak malam ni,SAFE
"Loan approved instant RM4119, send IC & bank details",SCAM
Aku lambat sikit traffic jam,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
"Good morning bro, bangun cepat",SAFE
"Loan approved instant RM3610, send IC & bank details",SCAM
"We detected login from Philippines, confirm identity bank-secure.com/login",SCAM
"Customs hold parcel, pay RM1517 release fee",SCAM
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
Call aku nanti free,SAFE
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
Where are you now bro?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
Aku lambat sikit traffic jam,SAFE
Dinner rumah mak malam ni,SAFE
Assignment dah siap belum?,SAFE
Jom makan dekat cafe kampus,SAFE
Apa plan weekend ni?,SAFE
Jom makan dekat cafe kampus,SAFE
Let’s study together for exam,SAFE
Dinner rumah mak malam ni,SAFE
"Job part time RM2703/day, no experience needed, join link tng-update.com",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
You datang lecture tak hari ni?,SAFE
You datang lecture tak hari ni?,SAFE
Dinner rumah mak malam ni,SAFE
Where are you now bro?,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
Let’s study together for exam,SAFE
You datang lecture tak hari ni?,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
"Loan approved instant RM4492, send IC & bank details",SCAM
"Loan approved instant RM843, send IC & bank details",SCAM
"OTP needed to verify transaction, send cepat",SCAM
Aku lambat sikit traffic jam,SAFE
Aku tengah buat project AI ni,SAFE
"We detected login from Unknown, confirm identity bit.ly/verify",SCAM
Weh kau free tak malam ni?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Let’s study together for exam,SAFE
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
You datang lecture tak hari ni?,SAFE
"Shopee parcel stuck kastam, bayar RM2230 untuk release",SCAM
"Your email hacked, reset password immediately tng-update.com",SCAM
"Police report: you involved in case, contact urgent tng-update.com",SCAM
Kita jumpa esok kelas 10am,SAFE
Where are you now bro?,SAFE
"Loan approved instant RM3656, send IC & bank details",SCAM
"Loan approved instant RM4893, send IC & bank details",SCAM
Weh kau free tak malam ni?,SAFE
Apa plan weekend ni?,SAFE
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
Aku dah hantar report tu,SAFE
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
"Loan approved instant RM4042, send IC & bank details",SCAM
Where are you now bro?,SAFE
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
Assignment dah siap belum?,SAFE
"Customs hold parcel, pay RM4345 release fee",SCAM
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
"Shopee parcel stuck kastam, bayar RM2522 untuk release",SCAM
Dinner rumah mak malam ni,SAFE
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
"Loan approved instant RM849, send IC & bank details",SCAM
Aku dah hantar report tu,SAFE
"We detected login from Nigeria, confirm identity sh0pee-help.net",SCAM
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Jom makan dekat cafe kampus,SAFE
Weh kau free tak malam ni?,SAFE
Let’s study together for exam,SAFE
"Shopee parcel stuck kastam, bayar RM3669 untuk release",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
Aku tengah buat project AI ni,SAFE
Aku dah hantar report tu,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Assignment dah siap belum?,SAFE
"Customs hold parcel, pay RM2877 release fee",SCAM
Dinner rumah mak malam ni,SAFE
Where are you now bro?,SAFE
Aku lambat sikit traffic jam,SAFE
Thanks bro tolong aku tadi,SAFE
"Job part time RM2469/day, no experience needed, join link bank-secure.com/login",SCAM
Aku lambat sikit traffic jam,SAFE
Assignment dah siap belum?,SAFE
"Shopee parcel stuck kastam, bayar RM4104 untuk release",SCAM
"Shopee parcel stuck kastam, bayar RM1152 untuk release",SCAM
Kita jumpa esok kelas 10am,SAFE
Aku lambat sikit traffic jam,SAFE
"You win RM566 cash, claim now sebelum expired",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
Let’s study together for exam,SAFE
Weh kau free tak malam ni?,SAFE
"Shopee parcel stuck kastam, bayar RM2461 untuk release",SCAM
"Shopee parcel stuck kastam, bayar RM4752 untuk release",SCAM
Dinner rumah mak malam ni,SAFE
"Loan approved instant RM2911, send IC & bank details",SCAM
Jom makan dekat cafe kampus,SAFE
Apa plan weekend ni?,SAFE
"Customs hold parcel, pay RM3857 release fee",SCAM
Let’s study together for exam,SAFE
Assignment dah siap belum?,SAFE
Aku tengah buat project AI ni,SAFE
"Customs hold parcel, pay RM427 release fee",SCAM
"Good morning bro, bangun cepat",SAFE
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
Thanks bro tolong aku tadi,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Assignment dah siap belum?,SAFE
"You win RM2543 cash, claim now sebelum expired",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
Weh kau free tak malam ni?,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang tng-update.com",SCAM
Apa plan weekend ni?,SAFE
Jom makan dekat cafe kampus,SAFE
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
Apa plan weekend ni?,SAFE
You datang lecture tak hari ni?,SAFE
Call aku nanti free,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
"Free RM1791 voucher, claim sekarang bank-secure.com/login",SCAM
"We detected login from Philippines, confirm identity tng-update.com",SCAM
"Shopee parcel stuck kastam, bayar RM3455 untuk release",SCAM
Assignment dah siap belum?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Thanks bro tolong aku tadi,SAFE
Aku tengah buat project AI ni,SAFE
Apa plan weekend ni?,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
Jom makan dekat cafe kampus,SAFE
Kita jumpa esok kelas 10am,SAFE
Dinner rumah mak malam ni,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
Where are you now bro?,SAFE
Thanks bro tolong aku tadi,SAFE
Aku tengah buat project AI ni,SAFE
Jom makan dekat cafe kampus,SAFE
Apa plan weekend ni?,SAFE
Call aku nanti free,SAFE
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
"Customs hold parcel, pay RM3045 release fee",SCAM
You datang lecture tak hari ni?,SAFE
Thanks bro tolong aku tadi,SAFE
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
Jom makan dekat cafe kampus,SAFE
Assignment dah siap belum?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"Loan approved instant RM3815, send IC & bank details",SCAM
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
Assignment dah siap belum?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"Your email hacked, reset password immediately bit.ly/verify",SCAM
Aku lambat sikit traffic jam,SAFE
Let’s study together for exam,SAFE
Aku dah hantar report tu,SAFE
Let’s study together for exam,SAFE
Kita jumpa esok kelas 10am,SAFE
Aku dah hantar report tu,SAFE
"Job part time RM1569/day, no experience needed, join link sh0pee-help.net",SCAM
"Good morning bro, bangun cepat",SAFE
Where are you now bro?,SAFE
Dinner rumah mak malam ni,SAFE
"Free RM4176 voucher, claim sekarang bit.ly/verify",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Shopee parcel stuck kastam, bayar RM3127 untuk release",SCAM
"You win RM4608 cash, claim now sebelum expired",SCAM
"We detected login from Nigeria, confirm identity bit.ly/verify",SCAM
Weh kau free tak malam ni?,SAFE
Dinner rumah mak malam ni,SAFE
Call aku nanti free,SAFE
"You win RM4003 cash, claim now sebelum expired",SCAM
"Customs hold parcel, pay RM3232 release fee",SCAM
Thanks bro tolong aku tadi,SAFE
"Good morning bro, bangun cepat",SAFE
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
Aku lambat sikit traffic jam,SAFE
"Free RM2490 voucher, claim sekarang bit.ly/verify",SCAM
Aku dah hantar report tu,SAFE
Assignment dah siap belum?,SAFE
"Loan approved instant RM1392, send IC & bank details",SCAM
Aku tengah buat project AI ni,SAFE
"Bank Negara report: account suspicious activity, verify bank-secure.com/login",SCAM
"Job part time RM2551/day, no experience needed, join link tng-update.com",SCAM
Call aku nanti free,SAFE
"Customs hold parcel, pay RM374 release fee",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"We detected login from Unknown, confirm identity bank-secure.com/login",SCAM
Aku lambat sikit traffic jam,SAFE
Thanks bro tolong aku tadi,SAFE
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"Customs hold parcel, pay RM1368 release fee",SCAM
"OTP needed to verify transaction, send cepat",SCAM
Dinner rumah mak malam ni,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
Aku lambat sikit traffic jam,SAFE
"Loan approved instant RM3656, send IC & bank details",SCAM
"Free RM2815 voucher, claim sekarang bank-secure.com/login",SCAM
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Kita jumpa esok kelas 10am,SAFE
Where are you now bro?,SAFE
Weh kau free tak malam ni?,SAFE
Aku dah hantar report tu,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
"Customs hold parcel, pay RM1455 release fee",SCAM
Let’s study together for exam,SAFE
Aku tengah buat project AI ni,SAFE
"Your email hacked, reset password immediately bit.ly/verify",SCAM
"Shopee parcel stuck kastam, bayar RM479 untuk release",SCAM
"Customs hold parcel, pay RM4268 release fee",SCAM
Apa plan weekend ni?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
Kita jumpa esok kelas 10am,SAFE
Jom makan dekat cafe kampus,SAFE
Call aku nanti free,SAFE
Dinner rumah mak malam ni,SAFE
Weh kau free tak malam ni?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
Thanks bro tolong aku tadi,SAFE
Assignment dah siap belum?,SAFE
Thanks bro tolong aku tadi,SAFE
Kita jumpa esok kelas 10am,SAFE
Where are you now bro?,SAFE
"Police report: you involved in case, contact urgent tng-update.com",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
Aku tengah buat project AI ni,SAFE
Thanks bro tolong aku tadi,SAFE
Aku lambat sikit traffic jam,SAFE
Assignment dah siap belum?,SAFE
"Job part time RM2156/day, no experience needed, join link sh0pee-help.net",SCAM
"Shopee parcel stuck kastam, bayar RM4862 untuk release",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
Aku lambat sikit traffic jam,SAFE
You datang lecture tak hari ni?,SAFE
Aku dah hantar report tu,SAFE
"Loan approved instant RM2962, send IC & bank details",SCAM
Aku lambat sikit traffic jam,SAFE
Thanks bro tolong aku tadi,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
Call aku nanti free,SAFE
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
Kita jumpa esok kelas 10am,SAFE
Let’s study together for exam,SAFE
"You win RM1787 cash, claim now sebelum expired",SCAM
Assignment dah siap belum?,SAFE
Where are you now bro?,SAFE
Assignment dah siap belum?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
Apa plan weekend ni?,SAFE
"Loan approved instant RM1753, send IC & bank details",SCAM
Apa plan weekend ni?,SAFE
You datang lecture tak hari ni?,SAFE
"Loan approved instant RM2261, send IC & bank details",SCAM
You datang lecture tak hari ni?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bit.ly/verify",SCAM
Assignment dah siap belum?,SAFE
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"We detected login from India, confirm identity tng-update.com",SCAM
Jom makan dekat cafe kampus,SAFE
"Free RM3926 voucher, claim sekarang sh0pee-help.net",SCAM
